Census Tract,CE01totcounts,CE02totcounts,CE03totcounts,C000totcounts,ct,CE01Percent,CE02Percent,CE03Percent,TractLabel
000100,3124,3823,7025,13972,000100,0.22359003721729173,0.273618665903235,0.5027912968794732,6
000101,553,764,655,1972,000101,0.2804259634888438,0.38742393509127787,0.3321501014198783,5
000103,622,926,844,2392,000103,0.2600334448160535,0.387123745819398,0.3528428093645485,5
000104,28,31,25,84,000104,0.3333333333333333,0.36904761904761907,0.2976190476190476,1
000110,377,546,308,1231,000110,0.3062550771730301,0.4435418359057677,0.2502030869212023,1
000200,4175,5455,4380,14010,000200,0.29800142755174874,0.38936473947180583,0.31263383297644537,5
000201,1010,1354,1449,3813,000201,0.2648832939942303,0.35510097036454236,0.38001573564122737,5
000202,1052,1426,2057,4535,000202,0.23197353914002206,0.31444321940463066,0.4535832414553473,5
000203,253,336,638,1227,000203,0.20619396903015486,0.27383863080684595,0.5199674001629991,6
000300,3245,4238,4630,12113,000300,0.2678939981837695,0.34987203830595226,0.3822339635102782,5
000301,286,325,1488,2099,000301,0.1362553596950929,0.15483563601715103,0.708909004287756,6
000400,2454,3567,3457,9478,000400,0.25891538299219247,0.3763452205106563,0.3647393964971513,5
000401,934,1173,1823,3930,000401,0.2376590330788804,0.29847328244274807,0.4638676844783715,6
000402,1221,1668,2326,5215,000402,0.23413231064237774,0.31984659635666346,0.44602109300095877,5
000403,501,595,1000,2096,000403,0.2390267175572519,0.2838740458015267,0.4770992366412214,6
000404,210,159,239,608,000404,0.34539473684210525,0.26151315789473684,0.3930921052631579,2
000500,1930,2368,2845,7143,000500,0.27019459610807783,0.33151336973260537,0.3982920341593168,5
000501,1321,1553,2266,5140,000501,0.25700389105058363,0.30214007782101165,0.44085603112840466,5
000502,1019,1105,2014,4138,000502,0.24625422909618172,0.26703721604639924,0.48670855485741904,6
000600,5615,7000,7538,20153,000600,0.27861856795514317,0.3473428273706148,0.37403860467424205,5
000700,4825,5838,11222,21885,000700,0.22047064199223212,0.26675805346127485,0.512771304546493,6
000701,304,433,866,1603,000701,0.18964441671865254,0.27011852776044915,0.5402370555208983,6
000702,417,541,1008,1966,000702,0.2121057985757884,0.27517802644964395,0.5127161749745677,6
000800,3911,4620,4857,13388,000800,0.29212727815954587,0.3450851508813863,0.36278757095906783,5
000801,478,707,1450,2635,000801,0.18140417457305502,0.2683111954459203,0.5502846299810247,6
000802,250,303,549,1102,000802,0.22686025408348456,0.2749546279491833,0.4981851179673321,6
000803,455,623,1071,2149,000803,0.21172638436482086,0.2899022801302932,0.498371335504886,6
000900,3159,3854,6956,13969,000900,0.2261436036938936,0.275896628248264,0.49795976805784237,6
001000,3792,4889,4416,13097,001000,0.2895319538825685,0.37329159349469343,0.33717645262273804,5
001001,128,182,566,876,001001,0.1461187214611872,0.20776255707762556,0.6461187214611872,6
001002,688,841,686,2215,001002,0.31060948081264106,0.3796839729119639,0.309706546275395,3
001100,3031,3984,4602,11617,001100,0.26091073426874406,0.34294568305070156,0.3961435826805544,5
001101,319,463,436,1218,001101,0.2619047619047619,0.38013136288998356,0.3579638752052545,5
001102,512,730,824,2066,001102,0.24782187802516942,0.35333978702807356,0.398838334946757,5
001200,2051,2670,3403,8124,001200,0.25246184145741013,0.32865583456425407,0.4188823239783358,5
001300,2255,2721,5655,10631,001300,0.21211551124071112,0.25594958141284924,0.5319349073464397,6
001301,358,480,862,1700,001301,0.21058823529411766,0.2823529411764706,0.5070588235294118,6
001302,370,581,668,1619,001302,0.2285361334156887,0.35886349598517603,0.4126003705991353,5
001303,634,809,906,2349,001303,0.26990208599404003,0.3444018731375053,0.38569604086845466,5
001400,2300,3107,3371,8778,001400,0.26201868307131465,0.35395306447938024,0.3840282524493051,5
001401,608,747,1948,3303,001401,0.18407508325764457,0.22615803814713897,0.5897668785952165,6
001402,1001,1188,1388,3577,001402,0.27984344422700586,0.33212188985183116,0.388034665921163,5
001403,263,420,699,1382,001403,0.19030390738060782,0.30390738060781475,0.5057887120115774,5
001500,3321,4244,6207,13772,001500,0.2411414464130119,0.3081614870752251,0.450697066511763,5
001501,455,480,2261,3196,001501,0.14236545682102628,0.15018773466833543,0.7074468085106383,6
001502,723,899,4102,5724,001502,0.12631027253668764,0.15705800139762405,0.7166317260656884,6
001503,229,342,682,1253,001503,0.1827613727055068,0.27294493216280924,0.5442936951316839,6
001504,425,513,1105,2043,001504,0.20802741067058247,0.2511013215859031,0.5408712677435145,6
001505,165,310,566,1041,001505,0.1585014409221902,0.297790585975024,0.5437079731027857,6
